# MNE-Annotations
# orig_time : 2013-03-27 23:19:51.913170   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,0.0
420.0,30.0,0.0
450.0,30.0,0.0
480.0,30.0,0.0
510.0,30.0,1.0
540.0,30.0,1.0
570.0,30.0,1.0
600.0,30.0,1.0
630.0,30.0,1.0
660.0,30.0,1.0
690.0,30.0,0.0
720.0,30.0,0.0
750.0,30.0,1.0
780.0,30.0,1.0
810.0,30.0,1.0
840.0,30.0,1.0
870.0,30.0,1.0
900.0,30.0,1.0
930.0,30.0,1.0
960.0,30.0,1.0
990.0,30.0,2.0
994.8458450704226,0.37183098591549424,sw
1020.0,30.0,1.0
1050.0,30.0,0.0
1080.0,30.0,1.0
1110.0,30.0,1.0
1140.0,30.0,1.0
1161.992323943662,0.6253521126759551,dudoso
1170.0,30.0,2.0
1198.634577464789,1.2845070422533809,kc
1200.0,30.0,2.0
1212.5190845070424,0.574647887323863,sw
1230.0,30.0,2.0
1256.1500704225352,0.5239436619719982,kc
1260.0,30.0,2.0
1288.8880985915494,0.32112676056340206,sw
1290.0,30.0,2.0
1320.0,30.0,2.0
1331.2472535211268,0.895774647887265,sw
1350.0,30.0,2.0
1357.0726056338028,0.456338028169057,sw
1365.2528873239437,0.8112676056339296,sw
1380.0,30.0,0.0
1410.0,30.0,1.0
1440.0,30.0,2.0
1458.7303521126762,0.7098591549295179,sw
1470.0,30.0,2.0
1500.0,30.0,2.0
1508.2261267605634,1.0309859154931473,kc
1511.3190845070424,1.2338028169012887,sw
1514.4585211267606,1.1830985915494239,sw
1529.2050000000002,1.7408450704224379,dudoso
1530.0,30.0,2.0
1546.2458450704225,0.8619718309860218,sw
1560.0,30.0,2.0
1574.8134507042255,0.6422535211268041,sw
1590.0,30.0,2.0
1620.0,30.0,2.0
1623.8190845070424,0.5577464788732414,sw
